Date,CustomerID,Country,Item,Category,UnitsSold,ItemPrice,ItemCost,Discount
2025-07-03 19:47:39.604073,CUST0107,,Razer Huntsman Elite,Keyboard,1,211.73,125.62,0.15
2024-07-15 19:47:39.604073,CUST0456,,MSI B550 Tomahawk,Motherboard,2,166.37,147.68,0.15
2025-04-26 19:47:39.604073,CUST0306,Australia,Corsair Vengeance 16GB DDR4,RAM,5,83.5,73.57,0.15
2025-01-21 19:47:39.604073,CUST0484,France,NVIDIA RTX 4080,GPU,9,1321.21,1147.62,0.2
2024-11-20 19:47:39.604073,CUST0019,France,ASUS TUF Gaming 32 Monitor,Monitor,4,329.25,210.73,0.15
2025-08-02 19:47:39.604073,CUST0074,USA,,CPU,3,599.46,493.18,0.0
2024-12-14 19:47:39.604073,CUST0223,Australia,G.Skill Trident Z 32GB DDR5,RAM,1,161.23,93.47,0.2
2024-03-07 19:47:39.604073,CUST0380,India,NVIDIA RTX 4070 Ti,GPU,4,665.48,500.57,0.0
2025-05-23 19:47:39.604073,CUST0272,Canada,Logitech G915 Keyboard,Keyboard,1,273.04,173.09,0.2
2025-07-28 19:47:39.604073,CUST0302,Canada,Corsair Vengeance 16GB DDR4,RAM,3,67.09,56.09,0.1
2023-11-08 19:47:39.604073,CUST0430,Australia,NVIDIA RTX 4070 Ti,GPU,5,693.38,468.63,0.2
2025-04-17 19:47:39.604073,CUST0149,Canada,Logitech G915 Keyboard,Keyboard,7,297.05,152.18,0.05
2024-08-23 19:47:39.604073,CUST0040,Brazil ,Corsair RM850x PSU,Power Supply,8,132.62,74.86,0.0
2025-08-15 19:47:39.604073,CUST0028,India ,NVIDIA RTX 4070 Ti,GPU,1,740.37,427.09,0.1
2024-05-28 19:47:39.604073,CUST0167,Brazil,MSI B550 Tomahawk,Motherboard,3,162.96,96.55,0.1
2024-12-17 19:47:39.604073,CUST0347,Germany,MSI B550 Tomahawk,Motherboard,7,212.61,132.3,0.15
2025-04-03 19:47:39.604073,CUST0030,Brazil,Seagate Barracuda 4TB HDD,Storage,1,102.75,81.25,0.05
2025-04-05 19:47:39.604073,CUST0166,Australia,,Power Supply,8,105.11,77.1,0.15
2025-04-27 19:47:39.604073,CUST0013,USA,G.Skill Trident Z 32GB DDR5,RAM,7,209.65,185.44,0.0
2024-02-27 19:47:39.604073,CUST0412,Canada,Dell Ultrasharp 27 Monitor,Monitor,5,524.4,295.36,0.05
2025-07-04 19:47:39.604073,CUST0434,,MSI B550 Tomahawk,Motherboard,6,165.03,99.99,0.15
2024-12-07 19:47:39.604073,CUST0361,USA,SteelSeries Arctis 7,Headset,3,124.98,87.32,0.0
2025-07-31 19:47:39.604073,CUST0009,USA,HyperX Cloud II,Headset,2,103.2,70.49,0.0
2023-10-05 19:47:39.604073,CUST0473,Australia,Intel Core i9-13900K,CPU,9,620.56,446.33,0.0
2024-03-06 19:47:39.604073,CUST0411,Brazil,Razer Huntsman Elite,Keyboard,1,211.13,170.98,0.0
2024-09-10 19:47:39.604073,CUST0346,UK,Logitech G Pro Superlight,Mouse,1,172.02,107.75,0.1
2024-11-17 19:47:39.604073,CUST0313,USA,,CPU,8,367.23,275.49,0.1
2024-01-05 19:47:39.604073,CUST0016,France,NVIDIA RTX 4080,GPU,1,1077.64,772.88,0.1
2025-01-14 19:47:39.604073,CUST0180,UK,ASUS TUF Gaming 32 Monitor,Monitor,3,280.14,244.78,0.15
2024-06-19 19:47:39.604073,CUST0254,,ASUS ROG Strix Z690-F,Motherboard,9,461.36,330.4,0.05
2025-06-12 19:47:39.604073,CUST0483,Canada,Samsung 970 EVO 1TB SSD,Storage,4,79.7,71.11,0.2
2023-12-27 19:47:39.604073,CUST0174,Brazil,ASUS ROG Strix Z690-F,Motherboard,4,443.13,245.96,0.1
2024-08-12 19:47:39.604073,CUST0163,Brazil,ASUS ROG Strix Z690-F,Motherboard,6,472.1,422.93,0.0
2024-04-05 19:47:39.604073,CUST0008,USA,Razer Huntsman Elite,Keyboard,9,215.93,122.02,0.05
2023-10-30 19:47:39.604073,CUST0402,India,Razer DeathAdder V2,Mouse,7,59.04,30.21,0.1
2024-07-15 19:47:39.604073,CUST0452,UK,,Motherboard,5,398.56,267.08,0.0
2025-07-12 19:47:39.604073,CUST0474,USA,Intel Core i9-13900K,CPU,9,501.64,319.78,0.05
2025-02-09 19:47:39.604073,CUST0440,USA,Corsair Vengeance 16GB DDR4,RAM,6,65.39,56.66,0.0
2025-06-17 19:47:39.604073,CUST0369,Australia,G.Skill Trident Z 32GB DDR5,RAM,6,183.39,110.43,0.15
2025-05-17 19:47:39.604073,CUST0051,Brazil,Razer DeathAdder V2,Mouse,6,54.78,44.53,0.05
2024-03-14 19:47:39.604073,CUST0281,Canada,,Mouse,7,156.07,96.1,0.05
2024-04-29 19:47:39.604073,CUST0321,Australia,MSI B550 Tomahawk,Motherboard,4,191.39,152.75,0.1
2024-07-30 19:47:39.604073,CUST0143,Canada,Dell Ultrasharp 27 Monitor,Monitor,5,457.03,247.61,0.0
2024-02-11 19:47:39.604073,CUST0202,Canada,WD Black SN850 2TB SSD,Storage,5,194.09,129.05,0.2
2025-03-19 19:47:39.604073,CUST0138,USA,Logitech G915 Keyboard,Keyboard,4,285.72,205.77,0.05
2024-10-10 19:47:39.604073,CUST0185,USA,AMD Radeon RX 7900 XT,GPU,3,855.92,468.59,0.05
2024-10-05 19:47:39.604073,CUST0437,Australia,MSI B550 Tomahawk,Motherboard,5,187.29,167.8,0.05
2025-03-22 19:47:39.604073,CUST0012,Germany,HyperX Cloud II,Headset,2,105.4,55.84,0.05
2024-12-04 19:47:39.604073,CUST0274,Germany,Intel Core i9-13900K,CPU,9,567.5,286.9,0.2
2024-07-08 19:47:39.604073,CUST0427,UK,MSI B550 Tomahawk,Motherboard,ten,190.77,112.53,0.2
2024-06-29 19:47:39.604073,CUST0050,,ASUS ROG Strix Z690-F,Motherboard,7,351.65,265.46,0.1
2024-02-01 19:47:39.604073,CUST0261,France,AMD Radeon RX 7900 XT,GPU,9,961.77,713.06,0.2
2023-12-11 19:47:39.604073,CUST0371,France,EVGA SuperNOVA 750 G6 PSU,Power Supply,5,121.37,93.79,0.0
2024-11-14 19:47:39.604073,CUST0423,France,WD Black SN850 2TB SSD,Storage,7,200.2,122.28,0.0
2025-03-27 19:47:39.604073,CUST0321,,Corsair Vengeance 16GB DDR4,RAM,4,65.01,54.0,0.1
2025-01-02 19:47:39.604073,CUST0476,Germany,WD Black SN850 2TB SSD,Storage,7,215.25,114.03,0.2
2025-08-20 19:47:39.604073,CUST0011,France,Corsair RM850x PSU,Power Supply,7,116.06,71.41,0.1
2025-06-19 19:47:39.604073,CUST0345,Brazil,HyperX Cloud II,Headset,6,94.97,71.34,0.1
2024-07-08 19:47:39.604073,CUST0082,UK,Logitech G Pro Superlight,Mouse,6,124.13,98.63,0.0
2024-10-08 19:47:39.604073,CUST0083,India,Samsung 970 EVO 1TB SSD,Storage,3,98.63,79.07,0.05
2024-02-09 19:47:39.604073,CUST0474,Germany,,Motherboard,8,374.53,210.0,0.15
2025-01-25 19:47:39.604073,CUST0257,Australia,AMD Ryzen 7 5800X,CPU,4,310.34,265.9,0.0
2024-09-12 19:47:39.604073,CUST0176,Canada,Corsair Vengeance 16GB DDR4,RAM,1,70.35,62.75,0.2
2024-08-07 19:47:39.604073,CUST0478,,Intel Core i9-13900K,CPU,1,578.36,493.5,0.2
2024-10-17 19:47:39.604073,CUST0272,Canada,NVIDIA RTX 4070 Ti,GPU,5,749.03,567.37,0.2
2024-04-11 19:47:39.604073,CUST0189,India,ASUS ROG Strix Z690-F,Motherboard,1,343.54,181.85,0.15
2025-04-22 19:47:39.604073,CUST0036,,Razer DeathAdder V2,Mouse,2,51.39,31.61,0.15
2024-04-23 19:47:39.604073,CUST0012,Canada,HyperX Cloud II,Headset,2,119.79,80.41,0.1
2025-03-31 19:47:39.604073,CUST0299,Canada,Corsair Vengeance 16GB DDR4,RAM,1,95.94,73.31,0.1
2024-06-30 19:47:39.604073,CUST0107,Germany,Logitech G Pro Superlight,Mouse,3,172.37,86.27,0.0
2025-07-20 19:47:39.604073,CUST0268,Canada,ASUS TUF Gaming 32 Monitor,Monitor,9,334.91,199.3,0.2
2025-08-16 19:47:39.604073,CUST0425,Germany,Logitech G915 Keyboard,Keyboard,7,230.03,159.75,0.05
2024-10-08 19:47:39.604073,CUST0402,India,AMD Ryzen 7 5800X,CPU,6,400.71,265.67,0.0
2024-09-19 19:47:39.604073,CUST0177,Canada,NVIDIA RTX 4080,GPU,5,976.95,775.76,0.1
2023-12-09 19:47:39.604073,CUST0425,Brazil,ASUS ROG Strix Z690-F,Motherboard,3,339.04,239.25,0.2
2025-01-31 19:47:39.604073,CUST0181,,ASUS ROG Strix Z690-F,Motherboard,7,448.51,369.91,0.05
2025-06-11 19:47:39.604073,CUST0334,Canada,EVGA SuperNOVA 750 G6 PSU,Power Supply,3,88.71,49.06,0.2
2024-03-21 19:47:39.604073,CUST0378,Brazil,EVGA SuperNOVA 750 G6 PSU,Power Supply,9,114.14,84.66,0.0
2025-07-09 19:47:39.604073,CUST0459,Canada,G.Skill Trident Z 32GB DDR5,RAM,9,232.46,153.97,0.1
2023-11-06 19:47:39.604073,CUST0278,Australia,Samsung 970 EVO 1TB SSD,Storage,6,84.5,60.79,0.2
2024-12-03 19:47:39.604073,CUST0057,USA,Samsung 970 EVO 1TB SSD,Storage,2,89.6,78.06,0.15
2025-03-16 19:47:39.604073,CUST0459,Germany,Logitech G Pro Superlight,Mouse,8,163.09,129.61,0.0
2024-04-09 19:47:39.604073,CUST0387,France,Logitech G915 Keyboard,Keyboard,4,237.16,121.01,0.05
2024-02-08 19:47:39.604073,CUST0159,Canada,ASUS ROG Strix Z690-F,Motherboard,5,388.73,199.25,0.0
2025-06-01 19:47:39.604073,CUST0347,UK,EVGA SuperNOVA 750 G6 PSU,Power Supply,9,97.94,68.83,0.1
2025-03-09 19:47:39.604073,CUST0072,USA,ASUS TUF Gaming 32 Monitor,Monitor,4,374.91,219.55,0.15
2025-06-13 19:47:39.604073,CUST0056,Australia,Razer Huntsman Elite,Keyboard,7,181.79,145.5,0.1
2024-06-10 19:47:39.604073,CUST0412,France,G.Skill Trident Z 32GB DDR5,RAM,5,197.09,119.09,0.1
2024-06-25 19:47:39.604073,CUST0319,Canada,G.Skill Trident Z 32GB DDR5,RAM,1,175.76,134.62,0.1
2025-01-28 19:47:39.604073,CUST0305,France,ASUS ROG Strix Z690-F,Motherboard,9,476.46,330.76,0.1
2023-12-29 19:47:39.604073,CUST0276,Canada,NVIDIA RTX 4080,GPU,9,1392.77,754.23,0.2
2025-07-04 19:47:39.604073,CUST0216,USA,MSI B550 Tomahawk,Motherboard,3,173.33,103.11,0.2
2024-05-01 19:47:39.604073,CUST0034,Canada,Razer DeathAdder V2,Mouse,4,65.31,53.75,0.15
2024-07-17 19:47:39.604073,CUST0178,France,MSI B550 Tomahawk,Motherboard,3,214.31,183.39,0.1
2025-01-29 19:47:39.604073,CUST0209,UK,ASUS ROG Strix Z690-F,Motherboard,ten,449.54,299.07,0.2
2023-09-12 19:47:39.604073,CUST0203,Germany,Samsung 970 EVO 1TB SSD,Storage,4,97.7,61.55,0.05
2023-11-08 19:47:39.604073,CUST0066,UK,,GPU,9,1224.61,615.4,0.1
2024-04-08 19:47:39.604073,CUST0404,Australia,WD Black SN850 2TB SSD,Storage,7,234.14,194.12,0.0
2024-09-26 19:47:39.604073,CUST0484,Australia,NVIDIA RTX 4070 Ti,GPU,6,862.16,721.4,0.15
2025-08-25 19:47:39.604073,CUST0469,Canada,Dell Ultrasharp 27 Monitor,Monitor,6,450.34,285.57,0.0
2023-12-13 19:47:39.604073,CUST0378,India,MSI B550 Tomahawk,Motherboard,5,163.16,132.7,0.0
2024-05-08 19:47:39.604073,CUST0387,India,AMD Ryzen 7 5800X,CPU,4,383.58,194.69,0.1
2025-05-17 19:47:39.604073,CUST0061,India,NVIDIA RTX 4080,GPU,1,1249.14,659.04,0.0
2025-03-05 19:47:39.604073,CUST0046,UK,NVIDIA RTX 4080,GPU,5,1187.98,690.96,0.2
2025-07-02 19:47:39.604073,CUST0489,USA,ASUS TUF Gaming 32 Monitor,Monitor,3,304.62,252.31,0.2
2025-06-11 19:47:39.604073,CUST0186,Brazil,Corsair Vengeance 16GB DDR4,RAM,2,77.32,51.59,0.0
2023-12-09 19:47:39.604073,CUST0158,India,HyperX Cloud II,Headset,3,86.92,59.63,0.2
2025-03-13 19:47:39.604073,CUST0354,USA,Logitech G915 Keyboard,Keyboard,4,272.89,233.81,0.15
2025-03-14 19:47:39.604073,CUST0314,India,ASUS TUF Gaming 32 Monitor,Monitor,5,289.27,160.99,0.2
2024-05-29 19:47:39.604073,CUST0333,India,Dell Ultrasharp 27 Monitor,Monitor,6,518.11,441.14,0.15
2024-02-21 19:47:39.604073,CUST0235,India,Razer DeathAdder V2,Mouse,2,68.1,51.81,0.05
2025-07-13 19:47:39.604073,CUST0285,Germany,SteelSeries Arctis 7,Headset,4,178.67,114.03,0.0
2025-04-01 19:47:39.604073,CUST0426,Germany,,Mouse,3,122.85,103.53,0.1
2025-05-02 19:47:39.604073,CUST0030,USA,Logitech G915 Keyboard,Keyboard,7,292.94,204.21,0.1
2025-01-10 19:47:39.604073,CUST0041,USA,SteelSeries Arctis 7,Headset,8,159.39,127.39,0.15
2024-08-23 19:47:39.604073,CUST0095,Canada,NVIDIA RTX 4080,GPU,6,1057.6,927.7,0.15
2025-01-07 19:47:39.604073,CUST0277,Brazil,ASUS TUF Gaming 32 Monitor,Monitor,5,333.86,287.0,0.05
2024-05-06 19:47:39.604073,CUST0326,USA,Logitech G Pro Superlight,Mouse,5,151.37,109.11,0.1
2024-02-25 19:47:39.604073,CUST0317,India,NVIDIA RTX 4080,GPU,7,1117.09,675.58,0.15
2024-09-30 19:47:39.604073,CUST0452,Australia,Razer DeathAdder V2,Mouse,9,65.91,58.45,0.05
2024-05-05 19:47:39.604073,CUST0260,Germany,Dell Ultrasharp 27 Monitor,Monitor,9,395.48,252.14,0.15
2025-05-08 19:47:39.604073,CUST0231,India,ASUS TUF Gaming 32 Monitor,Monitor,1,401.88,295.19,0.05
2023-10-14 19:47:39.604073,CUST0277,,Corsair Vengeance 16GB DDR4,RAM,6,66.34,58.82,0.05
2024-08-05 19:47:39.604073,CUST0017,Canada,ASUS TUF Gaming 32 Monitor,Monitor,9,358.26,192.1,0.05
2025-05-10 19:47:39.604073,CUST0280,UK,AMD Radeon RX 7900 XT,GPU,5,1072.57,634.27,0.1
2024-12-28 19:47:39.604073,CUST0004,Australia,NVIDIA RTX 4070 Ti,GPU,4,924.2,768.36,0.0
2024-01-30 19:47:39.604073,CUST0206,Canada,ASUS TUF Gaming 32 Monitor,Monitor,4,333.58,236.56,0.15
2024-02-29 19:47:39.604073,CUST0261,USA,NVIDIA RTX 4070 Ti,GPU,4,660.94,462.73,0.15
2023-11-15 19:47:39.604073,CUST0207,USA,WD Black SN850 2TB SSD,Storage,8,218.08,130.57,0.2
2024-12-17 19:47:39.604073,CUST0451,Germany,Dell Ultrasharp 27 Monitor,Monitor,3,427.26,246.7,0.1
2025-01-14 19:47:39.604073,CUST0269,India,Intel Core i9-13900K,CPU,3,618.38,387.37,0.2
2025-03-15 19:47:39.604073,CUST0465,,ASUS ROG Strix Z690-F,Motherboard,6,362.87,230.43,0.0
2023-11-23 19:47:39.604073,CUST0337,UK,Dell Ultrasharp 27 Monitor,Monitor,7,481.33,406.33,0.0
2024-01-18 19:47:39.604073,CUST0031,India,Logitech G915 Keyboard,Keyboard,4,212.96,181.21,0.1
2024-05-14 19:47:39.604073,CUST0041,Brazil,Logitech G Pro Superlight,Mouse,5,152.42,122.47,0.15
2024-04-24 19:47:39.604073,CUST0238,Brazil,HyperX Cloud II,Headset,2,94.24,59.87,0.05
2025-03-01 19:47:39.604073,CUST0108,Australia,ASUS TUF Gaming 32 Monitor,Monitor,9,378.83,278.11,0.0
2025-05-21 19:47:39.604073,CUST0125,Brazil,Razer DeathAdder V2,Mouse,7,63.6,54.59,0.1
2025-07-04 19:47:39.604073,CUST0443,USA,Seagate Barracuda 4TB HDD,Storage,5,86.93,69.09,0.0
2023-11-03 19:47:39.604073,CUST0395,Canada,Intel Core i9-13900K,CPU,5,505.62,299.07,0.05
2024-07-06 19:47:39.604073,CUST0488,Brazil,Samsung 970 EVO 1TB SSD,Storage,8,92.88,48.91,0.1
2024-01-01 19:47:39.604073,CUST0049,UK,Razer DeathAdder V2,Mouse,4,66.56,53.16,0.15
2024-12-21 19:47:39.604073,CUST0116,,Intel Core i9-13900K,CPU,7,558.39,450.09,0.0
2025-06-11 19:47:39.604073,CUST0215,UK,,Headset,6,96.7,78.59,0.2
2024-04-05 19:47:39.604073,CUST0339,USA,AMD Ryzen 7 5800X,CPU,1,346.86,200.96,0.1
2024-09-11 19:47:39.604073,CUST0310,Canada,NVIDIA RTX 4070 Ti,GPU,6,675.99,462.27,0.2
2024-01-10 19:47:39.604073,CUST0265,Brazil,ASUS TUF Gaming 32 Monitor,Monitor,4,391.55,333.15,0.2
2023-10-11 19:47:39.604073,CUST0276,UK,Logitech G915 Keyboard,Keyboard,4,203.18,151.66,0.15
2023-11-14 19:47:39.604073,CUST0286,India,Dell Ultrasharp 27 Monitor,Monitor,6,472.24,332.69,0.2
2025-03-25 19:47:39.604073,CUST0488,Canada,SteelSeries Arctis 7,Headset,6,173.77,155.39,0.0
2025-03-13 19:47:39.604073,CUST0468,Germany,ASUS TUF Gaming 32 Monitor,Monitor,1,335.2,242.88,0.1
2024-11-08 19:47:39.604073,CUST0190,Canada,Corsair RM850x PSU,Power Supply,9,147.76,92.31,0.0
2024-03-14 19:47:39.604073,CUST0186,India,SteelSeries Arctis 7,Headset,1,127.51,101.84,0.2
2023-09-14 19:47:39.604073,CUST0316,USA,NVIDIA RTX 4070 Ti,GPU,2,689.81,406.25,0.15
2024-10-25 19:47:39.604073,CUST0240,Australia,Samsung 970 EVO 1TB SSD,Storage,1,98.12,53.5,0.15
2025-08-11 19:47:39.604073,CUST0262,None ,ASUS TUF Gaming 32 Monitor,Monitor,6,284.32,195.86,0.05
2024-09-20 19:47:39.604073,CUST0377,UK,Dell Ultrasharp 27 Monitor,Monitor,6,406.82,304.75,0.05
2024-02-10 19:47:39.604073,CUST0312,UK,Razer Huntsman Elite,Keyboard,9,171.07,100.22,0.1
2024-01-29 19:47:39.604073,CUST0171,India,AMD Ryzen 7 5800X,CPU,1,301.02,204.73,0.15
2024-03-31 19:47:39.604073,CUST0310,Australia,WD Black SN850 2TB SSD,Storage,8,175.59,137.57,0.1
2024-05-14 19:47:39.604073,CUST0248,,EVGA SuperNOVA 750 G6 PSU,Power Supply,8,111.21,65.46,0.0
2025-05-16 19:47:39.604073,CUST0470,UK,Intel Core i9-13900K,CPU,2,632.48,383.0,0.05
2023-11-10 19:47:39.604073,CUST0049,Germany,Intel Core i9-13900K,CPU,4,601.36,454.5,0.2
2024-07-02 19:47:39.604073,CUST0135,India,Razer Huntsman Elite,Keyboard,3,180.53,143.56,0.1
2024-12-01 19:47:39.604073,CUST0233,UK,Corsair RM850x PSU,Power Supply,6,110.81,85.43,0.1
2025-06-06 19:47:39.604073,CUST0123,Australia,AMD Ryzen 7 5800X,CPU,3,284.84,226.12,0.15
2025-04-03 19:47:39.604073,CUST0485,Canada,NVIDIA RTX 4080,GPU,2,1394.25,1124.97,0.0
2024-04-06 19:47:39.604073,CUST0357,France,HyperX Cloud II,Headset,7,99.86,61.72,0.05
2025-05-04 19:47:39.604073,CUST0103,Australia,Logitech G915 Keyboard,Keyboard,2,294.97,209.59,0.0
2024-12-14 19:47:39.604073,CUST0326,UK,Samsung 970 EVO 1TB SSD,Storage,4,91.65,53.9,0.15
2024-04-13 19:47:39.604073,CUST0459,USA,Logitech G915 Keyboard,Keyboard,2,283.53,209.07,0.15
2024-03-28 19:47:39.604073,CUST0068,India,Intel Core i9-13900K,CPU,1,536.27,375.65,0.05
2025-05-19 19:47:39.604073,CUST0069,Germany,Logitech G915 Keyboard,Keyboard,3,236.25,193.67,0.15
2025-01-05 19:47:39.604073,CUST0003,Australia,NVIDIA RTX 4080,GPU,8,1199.21,624.46,0.2
2025-04-04 19:47:39.604073,CUST0303,Canada,MSI B550 Tomahawk,Motherboard,9,168.6,147.09,0.1
2024-10-05 19:47:39.604073,CUST0053,USA,Dell Ultrasharp 27 Monitor,Monitor,ten,496.91,399.74,0.05
2025-03-24 19:47:39.604073,CUST0377,Germany,EVGA SuperNOVA 750 G6 PSU,Power Supply,6,131.17,115.38,0.0
2024-03-15 19:47:39.604073,CUST0247,Germany,EVGA SuperNOVA 750 G6 PSU,Power Supply,7,126.81,71.68,0.0
2024-07-16 19:47:39.604073,CUST0489,France,EVGA SuperNOVA 750 G6 PSU,Power Supply,7,95.69,76.5,0.2
2025-01-25 19:47:39.604073,CUST0287,Australia,Intel Core i9-13900K,CPU,2,548.04,390.72,0.05
2025-05-10 19:47:39.604073,CUST0021,India,Seagate Barracuda 4TB HDD,Storage,1,85.83,46.95,0.1
2025-03-15 19:47:39.604073,CUST0275,,HyperX Cloud II,Headset,4,118.07,69.75,0.2
2025-04-13 19:47:39.604073,CUST0191,Brazil,Razer Huntsman Elite,Keyboard,1,228.47,133.23,0.1
2024-04-30 19:47:39.604073,CUST0120,France,NVIDIA RTX 4070 Ti,GPU,4,697.55,602.36,0.1
2025-06-18 19:47:39.604073,CUST0042,USA,Corsair Vengeance 16GB DDR4,RAM,1,87.66,44.29,0.1
2024-10-23 19:47:39.604073,CUST0379,India,G.Skill Trident Z 32GB DDR5,RAM,ten,181.72,135.44,0.2
2025-06-18 19:47:39.604073,CUST0249,France,NVIDIA RTX 4080,GPU,1,1340.76,772.23,0.05
2024-09-08 19:47:39.604073,CUST0202,UK,Logitech G915 Keyboard,Keyboard,2,272.52,174.5,0.1
2025-08-12 19:47:39.604073,CUST0107,India,HyperX Cloud II,Headset,5,109.93,70.71,0.15
2024-07-05 19:47:39.604073,CUST0329,France,HyperX Cloud II,Headset,1,111.14,57.62,0.15
2024-09-18 19:47:39.604073,CUST0153,UK,Corsair RM850x PSU,Power Supply,7,119.7,60.48,0.15
2025-08-19 19:47:39.604073,CUST0254,India,AMD Ryzen 7 5800X,CPU,7,296.82,252.62,0.1
2024-09-14 19:47:39.604073,CUST0158,UK,Intel Core i9-13900K,CPU,9,669.61,380.93,0.2
2025-07-14 19:47:39.604073,CUST0020,India,WD Black SN850 2TB SSD,Storage,1,221.03,197.11,0.2
2023-12-13 19:47:39.604073,CUST0491,USA,WD Black SN850 2TB SSD,Storage,9,235.51,137.11,0.15
2025-03-14 19:47:39.604073,CUST0414,USA,WD Black SN850 2TB SSD,Storage,8,183.76,142.86,0.0
2025-07-30 19:47:39.604073,CUST0146,Canada,WD Black SN850 2TB SSD,Storage,6,217.45,154.47,0.2
2024-06-08 19:47:39.604073,CUST0068,India,EVGA SuperNOVA 750 G6 PSU,Power Supply,3,106.31,68.98,0.1
2025-03-31 19:47:39.604073,CUST0361,Canada,G.Skill Trident Z 32GB DDR5,RAM,2,166.13,140.79,0.1
2024-03-13 19:47:39.604073,CUST0286,Canada,MSI B550 Tomahawk,Motherboard,3,149.47,103.42,0.1
2025-08-16 19:47:39.604073,CUST0208,Canada,,CPU,4,291.47,236.4,0.05
2023-10-28 19:47:39.604073,CUST0373,UK,Intel Core i9-13900K,CPU,8,583.56,517.34,0.15
2024-08-20 19:47:39.604073,CUST0262,India,Dell Ultrasharp 27 Monitor,Monitor,3,442.19,290.16,0.0
2024-02-20 19:47:39.604073,CUST0091,Germany,Razer DeathAdder V2,Mouse,8,63.45,54.93,0.0
2025-07-05 19:47:39.604073,CUST0016,Brazil,ASUS ROG Strix Z690-F,Motherboard,6,395.39,199.61,0.2
2024-02-13 19:47:39.604073,CUST0030,France,SteelSeries Arctis 7,Headset,4,144.41,108.67,0.2
2024-07-21 19:47:39.604073,CUST0366,Germany,AMD Ryzen 7 5800X,CPU,4,404.44,242.24,0.0
2024-06-11 19:47:39.604073,CUST0302,,Dell Ultrasharp 27 Monitor,Monitor,6,413.09,347.24,0.05
2024-03-30 19:47:39.604073,CUST0273,Canada,AMD Ryzen 7 5800X,CPU,6,337.9,267.33,0.2
2023-10-26 19:47:39.604073,CUST0346,USA,AMD Ryzen 7 5800X,CPU,3,331.29,269.19,0.1
2025-06-07 19:47:39.604073,CUST0136,UK,Seagate Barracuda 4TB HDD,Storage,2,86.94,68.95,0.15
2024-10-05 19:47:39.604073,CUST0359,France,EVGA SuperNOVA 750 G6 PSU,Power Supply,1,99.43,69.81,0.0
2024-12-19 19:47:39.604073,CUST0093,UK,Seagate Barracuda 4TB HDD,Storage,5,102.58,81.47,0.1
2024-12-08 19:47:39.604073,CUST0474,Brazil,AMD Radeon RX 7900 XT,GPU,3,1012.47,753.8,0.05
2024-02-13 19:47:39.604073,CUST0217,USA,Samsung 970 EVO 1TB SSD,Storage,5,88.74,65.13,0.0
2024-10-30 19:47:39.604073,CUST0121,India,Razer Huntsman Elite,Keyboard,1,167.38,117.57,0.2
2025-03-31 19:47:39.604073,CUST0424,Australia,HyperX Cloud II,Headset,4,106.81,88.06,0.05
2024-06-13 19:47:39.604073,CUST0245,UK,NVIDIA RTX 4080,GPU,9,1113.22,695.78,0.15
2025-01-13 19:47:39.604073,CUST0358,USA,G.Skill Trident Z 32GB DDR5,RAM,6,202.84,129.65,0.05
2024-06-15 19:47:39.604073,CUST0011,India,Dell Ultrasharp 27 Monitor,Monitor,1,483.71,380.51,0.15
2024-10-17 19:47:39.604073,CUST0353,Brazil,ASUS ROG Strix Z690-F,Motherboard,1,340.72,264.05,0.1
