Date,Customer ID,Country,Product,Product Category,Units Sold,Product Price,Product Cost,Discount,Sale ID,Month,Year,Discount Revenue,Total Cost,Profit,Customer Type
11/14/2024,CUST0327,India,NVIDIA RTX 4080,GPU,2,990.82,726.4,0.15,59,November,2024,1684.394,1452.8,231.594,Business
7/8/2024,CUST0113,Canada,AMD Ryzen 7 5800X,CPU,1,281.61,190.95,0.1,60,July,2024,253.449,190.95,62.499,Reseller
2/20/2024,CUST0091,Brazil,Razer DeathAdder V2,Mouse,8,63.45,54.93,0,61,February,2024,507.6,439.44,68.16,Individual
11/18/2024,CUST0195,France,Logitech G915 Keyboard,Keyboard,9,231,124.22,0.2,62,November,2024,1663.2,1117.98,545.22,Business
7/5/2025,CUST0016,UK,ASUS ROG Strix Z690-F,Motherboard,6,395.39,199.61,0.2,63,July,2025,1897.872,1197.66,700.212,Individual
2/13/2024,CUST0030,Brazil,SteelSeries Arctis 7,Headset,4,144.41,108.67,0.2,64,February,2024,462.112,434.68,27.432,Individual
11/13/2024,CUST0214,USA,Samsung 970 EVO 1TB SSD,Storage,3,85.98,69.54,0.2,65,November,2024,206.352,208.62,-2.268,Individual
6/22/2024,CUST0227,Germany,Samsung 970 EVO 1TB SSD,Storage,3,103.7,78.95,0.1,66,June,2024,279.99,236.85,43.14,Reseller
7/21/2024,CUST0366,France,AMD Ryzen 7 5800X,CPU,4,404.44,242.24,0,67,July,2024,1617.76,968.96,648.8,Reseller
6/11/2024,CUST0302,Germany,Dell Ultrasharp 27 Monitor,Monitor,6,413.09,347.24,0.05,68,June,2024,2354.613,2083.44,271.173,Business
11/1/2024,CUST0144,Canada,AMD Radeon RX 7900 XT,GPU,2,725.7,413.1,0.1,69,November,2024,1306.26,826.2,480.06,Individual
7/2/2025,CUST0306,Germany,Corsair RM850x PSU,Power Supply,6,142.13,111.1,0.2,70,July,2025,682.224,666.6,15.624,Business
8/3/2024,CUST0206,Canada,SteelSeries Arctis 7,Headset,5,126.32,65.76,0.05,71,August,2024,600.02,328.8,271.22,Business
10/2/2023,CUST0054,France,ASUS ROG Strix Z690-F,Motherboard,8,428.01,268.62,0.05,72,October,2023,3252.876,2148.96,1103.916,Individual
12/15/2023,CUST0258,India,AMD Radeon RX 7900 XT,GPU,4,784.12,650.93,0,73,December,2023,3136.48,2603.72,532.76,Business
3/30/2024,CUST0273,USA,AMD Ryzen 7 5800X,CPU,6,337.9,267.33,0.2,74,March,2024,1621.92,1603.98,17.94,Reseller
10/8/2024,CUST0083,USA,Samsung 970 EVO 1TB SSD,Storage,3,98.63,79.07,0.05,75,October,2024,281.0955,237.21,43.8855,Business
2/10/2024,CUST0449,Canada,ASUS ROG Strix Z690-F,Motherboard,3,412.97,327.58,0,76,February,2024,1238.91,982.74,256.17,Individual
10/26/2023,CUST0346,UK,AMD Ryzen 7 5800X,CPU,3,331.29,269.19,0.1,77,October,2023,894.483,807.57,86.913,Business
8/4/2025,CUST0499,USA,WD Black SN850 2TB SSD,Storage,8,182.21,112.12,0.2,78,August,2025,1166.144,896.96,269.184,Business
6/7/2025,CUST0136,USA,Seagate Barracuda 4TB HDD,Storage,2,86.94,68.95,0.15,79,June,2025,147.798,137.9,9.898,Business
10/5/2024,CUST0359,USA,EVGA SuperNOVA 750 G6 PSU,Power Supply,1,99.43,69.81,0,80,October,2024,99.43,69.81,29.62,Individual
4/22/2024,CUST0189,USA,HyperX Cloud II,Headset,6,146.75,98.07,0.1,81,April,2024,792.45,588.42,204.03,Individual
5/7/2025,CUST0369,Canada,Samsung 970 EVO 1TB SSD,Storage,7,81.91,58.68,0.2,82,May,2025,458.696,410.76,47.936,Individual
7/12/2024,CUST0015,Canada,Samsung 970 EVO 1TB SSD,Storage,1,96.35,63.89,0.1,83,July,2024,86.715,63.89,22.825,Reseller
7/4/2024,CUST0342,Australia,ASUS ROG Strix Z690-F,Motherboard,8,345.24,228.03,0.1,84,July,2024,2485.728,1824.24,661.488,Individual
7/3/2025,CUST0107,Australia,Razer Huntsman Elite,Keyboard,1,211.73,125.62,0.15,85,July,2025,179.9705,125.62,54.3505,Business
12/19/2024,CUST0093,USA,Seagate Barracuda 4TB HDD,Storage,5,102.58,81.47,0.1,86,December,2024,461.61,407.35,54.26,Reseller
2/9/2024,CUST0474,Australia,ASUS ROG Strix Z690-F,Motherboard,8,374.53,210,0.15,87,February,2024,2546.804,1680,866.804,Reseller
7/15/2024,CUST0456,Germany,MSI B550 Tomahawk,Motherboard,2,166.37,147.68,0.15,88,July,2024,282.829,295.36,-12.531,Reseller
1/25/2025,CUST0257,Canada,AMD Ryzen 7 5800X,CPU,4,310.34,265.9,0,89,January,2025,1241.36,1063.6,177.76,Individual
4/26/2025,CUST0306,Germany,Corsair Vengeance 16GB DDR4,RAM,5,83.5,73.57,0.15,90,April,2025,354.875,367.85,-12.975,Business
7/16/2024,CUST0253,Australia,MSI B550 Tomahawk,Motherboard,2,182.15,120.67,0.1,91,July,2024,327.87,241.34,86.53,Reseller
12/8/2024,CUST0474,Australia,AMD Radeon RX 7900 XT,GPU,3,1012.47,753.8,0.05,92,December,2024,2885.5395,2261.4,624.1395,Reseller
9/12/2024,CUST0176,Canada,Corsair Vengeance 16GB DDR4,RAM,1,70.35,62.75,0.2,93,September,2024,56.28,62.75,-6.47,Reseller
1/21/2025,CUST0484,UK,NVIDIA RTX 4080,GPU,9,1321.21,1147.62,0.2,94,January,2025,9512.712,10328.58,-815.868,Reseller
5/29/2025,CUST0439,Australia,Intel Core i9-13900K,CPU,8,592.27,502.11,0,95,May,2025,4738.16,4016.88,721.28,Reseller
2/13/2024,CUST0217,Germany,Samsung 970 EVO 1TB SSD,Storage,5,88.74,65.13,0,96,February,2024,443.7,325.65,118.05,Individual
8/7/2024,CUST0478,India,Intel Core i9-13900K,CPU,1,578.36,493.5,0.2,97,August,2024,462.688,493.5,-30.812,Individual
10/30/2024,CUST0121,Australia,Razer Huntsman Elite,Keyboard,1,167.38,117.57,0.2,98,October,2024,133.904,117.57,16.334,Individual
8/2/2025,CUST0280,UK,MSI B550 Tomahawk,Motherboard,4,171.92,95.24,0.1,99,August,2025,618.912,380.96,237.952,Reseller
11/20/2024,CUST0019,UK,ASUS TUF Gaming 32 Monitor,Monitor,4,329.25,210.73,0.15,100,November,2024,1119.45,842.92,276.53,Reseller
10/6/2024,CUST0345,Brazil,Corsair RM850x PSU,Power Supply,2,141.33,92.45,0.05,101,October,2024,268.527,184.9,83.627,Reseller
3/31/2025,CUST0424,Canada,HyperX Cloud II,Headset,4,106.81,88.06,0.05,102,March,2025,405.878,352.24,53.638,Individual
5/21/2025,CUST0202,UK,ASUS TUF Gaming 32 Monitor,Monitor,8,406.13,286.03,0.15,103,May,2025,2761.684,2288.24,473.444,Business
8/2/2025,CUST0074,Brazil,Intel Core i9-13900K,CPU,3,599.46,493.18,0,104,August,2025,1798.38,1479.54,318.84,Individual
12/14/2024,CUST0223,India,G.Skill Trident Z 32GB DDR5,RAM,1,161.23,93.47,0.2,105,December,2024,128.984,93.47,35.514,Reseller
10/17/2024,CUST0272,France,NVIDIA RTX 4070 Ti,GPU,5,749.03,567.37,0.2,106,October,2024,2996.12,2836.85,159.27,Reseller
6/13/2024,CUST0245,Australia,NVIDIA RTX 4080,GPU,9,1113.22,695.78,0.15,107,June,2024,8516.133,6262.02,2254.113,Individual
1/31/2024,CUST0165,Australia,AMD Ryzen 7 5800X,CPU,7,330.27,263.58,0,108,January,2024,2311.89,1845.06,466.83,Individual
4/11/2024,CUST0189,USA,ASUS ROG Strix Z690-F,Motherboard,1,343.54,181.85,0.15,109,April,2024,292.009,181.85,110.159,Individual
11/16/2024,CUST0242,India,AMD Ryzen 7 5800X,CPU,6,291.44,220.78,0.05,110,November,2024,1661.208,1324.68,336.528,Individual
3/7/2024,CUST0380,India,NVIDIA RTX 4070 Ti,GPU,4,665.48,500.57,0,111,March,2024,2661.92,2002.28,659.64,Individual
1/13/2025,CUST0358,France,G.Skill Trident Z 32GB DDR5,RAM,6,202.84,129.65,0.05,112,January,2025,1156.188,777.9,378.288,Reseller
5/23/2025,CUST0272,France,Logitech G915 Keyboard,Keyboard,1,273.04,173.09,0.2,113,May,2025,218.432,173.09,45.342,Reseller
4/22/2025,CUST0036,UK,Razer DeathAdder V2,Mouse,2,51.39,31.61,0.15,114,April,2025,87.363,63.22,24.143,Individual
9/22/2023,CUST0160,Germany,Intel Core i9-13900K,CPU,9,514.74,415.06,0.1,115,September,2023,4169.394,3735.54,433.854,Reseller
6/15/2024,CUST0011,Germany,Dell Ultrasharp 27 Monitor,Monitor,1,483.71,380.51,0.15,116,June,2024,411.1535,380.51,30.6435,Individual
12/3/2023,CUST0354,UK,Samsung 970 EVO 1TB SSD,Storage,6,77.38,53.19,0.2,117,December,2023,371.424,319.14,52.284,Business
10/17/2024,CUST0353,UK,ASUS ROG Strix Z690-F,Motherboard,1,340.72,264.05,0.1,118,October,2024,306.648,264.05,42.598,Business
7/28/2025,CUST0302,Germany,Corsair Vengeance 16GB DDR4,RAM,3,67.09,56.09,0.1,119,July,2025,181.143,168.27,12.873,Business
3/29/2025,CUST0202,UK,SteelSeries Arctis 7,Headset,2,153.03,107.05,0.05,120,March,2025,290.757,214.1,76.657,Business
11/4/2023,CUST0422,Brazil,MSI B550 Tomahawk,Motherboard,9,201.18,137.01,0.05,121,November,2023,1720.089,1233.09,486.999,Reseller
4/27/2025,CUST0354,UK,Corsair Vengeance 16GB DDR4,RAM,2,69.6,36.19,0,122,April,2025,139.2,72.38,66.82,Business
11/8/2023,CUST0430,France,NVIDIA RTX 4070 Ti,GPU,5,693.38,468.63,0.2,123,November,2023,2773.52,2343.15,430.37,Business
5/9/2025,CUST0105,USA,AMD Radeon RX 7900 XT,GPU,9,983.53,871.17,0.2,124,May,2025,7081.416,7840.53,-759.114,Business
4/17/2025,CUST0149,Australia,Logitech G915 Keyboard,Keyboard,7,297.05,152.18,0.05,125,April,2025,1975.3825,1065.26,910.1225,Reseller
4/23/2024,CUST0012,USA,HyperX Cloud II,Headset,2,119.79,80.41,0.1,126,April,2024,215.622,160.82,54.802,Business
6/3/2024,CUST0235,Germany,NVIDIA RTX 4080,GPU,6,1107.62,659.74,0.2,127,June,2024,5316.576,3958.44,1358.136,Individual
3/31/2025,CUST0299,UK,Corsair Vengeance 16GB DDR4,RAM,1,95.94,73.31,0.1,128,March,2025,86.346,73.31,13.036,Individual
6/30/2024,CUST0107,Australia,Logitech G Pro Superlight,Mouse,3,172.37,86.27,0,129,June,2024,517.11,258.81,258.3,Business
8/23/2024,CUST0040,Canada,Corsair RM850x PSU,Power Supply,8,132.62,74.86,0,130,August,2024,1060.96,598.88,462.08,Business
4/20/2024,CUST0221,USA,Dell Ultrasharp 27 Monitor,Monitor,4,488.54,428.77,0.15,131,April,2024,1661.036,1715.08,-54.044,Business
7/20/2025,CUST0268,UK,ASUS TUF Gaming 32 Monitor,Monitor,9,334.91,199.3,0.2,132,July,2025,2411.352,1793.7,617.652,Reseller
8/15/2025,CUST0028,India,NVIDIA RTX 4070 Ti,GPU,1,740.37,427.09,0.1,133,August,2025,666.333,427.09,239.243,Reseller
8/16/2025,CUST0425,Australia,Logitech G915 Keyboard,Keyboard,7,230.03,159.75,0.05,134,August,2025,1529.6995,1118.25,411.4495,Business
5/30/2024,CUST0049,France,Logitech G Pro Superlight,Mouse,3,139.3,102.81,0.2,135,May,2024,334.32,308.43,25.89,Individual
1/19/2024,CUST0460,Canada,WD Black SN850 2TB SSD,Storage,9,171.58,122.97,0,136,January,2024,1544.22,1106.73,437.49,Individual
9/26/2024,CUST0108,Australia,Razer Huntsman Elite,Keyboard,8,214.45,114.98,0.15,137,September,2024,1458.26,919.84,538.42,Individual
10/8/2024,CUST0402,Brazil,AMD Ryzen 7 5800X,CPU,6,400.71,265.67,0,138,October,2024,2404.26,1594.02,810.24,Business
12/4/2023,CUST0057,Germany,MSI B550 Tomahawk,Motherboard,8,177.72,158.95,0.1,139,December,2023,1279.584,1271.6,7.984,Individual
10/18/2023,CUST0019,UK,Samsung 970 EVO 1TB SSD,Storage,2,98.6,58.78,0.05,140,October,2023,187.34,117.56,69.78,Reseller
9/19/2024,CUST0177,Brazil,NVIDIA RTX 4080,GPU,5,976.95,775.76,0.1,141,September,2024,4396.275,3878.8,517.475,Individual
5/3/2025,CUST0015,Canada,ASUS TUF Gaming 32 Monitor,Monitor,1,312.1,255.68,0.15,142,May,2025,265.285,255.68,9.605,Reseller
5/28/2024,CUST0167,Brazil,MSI B550 Tomahawk,Motherboard,3,162.96,96.55,0.1,143,May,2024,439.992,289.65,150.342,Reseller
9/2/2024,CUST0391,Canada,Corsair RM850x PSU,Power Supply,5,131.35,107.62,0.05,144,September,2024,623.9125,538.1,85.8125,Individual
2/23/2025,CUST0101,UK,MSI B550 Tomahawk,Motherboard,1,204.51,126.4,0.15,145,February,2025,173.8335,126.4,47.4335,Individual
12/17/2024,CUST0347,Brazil,MSI B550 Tomahawk,Motherboard,7,212.61,132.3,0.15,146,December,2024,1265.0295,926.1,338.9295,Individual
4/3/2025,CUST0030,Brazil,Seagate Barracuda 4TB HDD,Storage,1,102.75,81.25,0.05,147,April,2025,97.6125,81.25,16.3625,Individual
4/5/2025,CUST0166,UK,EVGA SuperNOVA 750 G6 PSU,Power Supply,8,105.11,77.1,0.15,148,April,2025,714.748,616.8,97.948,Business
12/9/2023,CUST0425,Australia,ASUS ROG Strix Z690-F,Motherboard,3,339.04,239.25,0.2,149,December,2023,813.696,717.75,95.946,Business
2/1/2025,CUST0200,UK,HyperX Cloud II,Headset,7,118.54,71.77,0.15,150,February,2025,705.313,502.39,202.923,Individual
1/31/2025,CUST0326,Canada,AMD Radeon RX 7900 XT,GPU,10,849.34,752.72,0.05,151,January,2025,8068.73,7527.2,541.53,Individual
1/31/2025,CUST0181,Brazil,ASUS ROG Strix Z690-F,Motherboard,7,448.51,369.91,0.05,152,January,2025,2982.5915,2589.37,393.2215,Reseller
11/3/2024,CUST0454,Brazil,NVIDIA RTX 4070 Ti,GPU,4,934.15,727.65,0.1,153,November,2024,3362.94,2910.6,452.34,Reseller
6/11/2025,CUST0334,Canada,EVGA SuperNOVA 750 G6 PSU,Power Supply,3,88.71,49.06,0.2,154,June,2025,212.904,147.18,65.724,Business
4/27/2025,CUST0013,USA,G.Skill Trident Z 32GB DDR5,RAM,7,209.65,185.44,0,155,April,2025,1467.55,1298.08,169.47,Business
7/8/2025,CUST0201,Brazil,NVIDIA RTX 4080,GPU,8,1357.93,895.79,0,156,July,2025,10863.44,7166.32,3697.12,Business
7/28/2025,CUST0162,UK,EVGA SuperNOVA 750 G6 PSU,Power Supply,7,116.9,97.99,0,157,July,2025,818.3,685.93,132.37,Reseller
3/21/2024,CUST0378,Australia,EVGA SuperNOVA 750 G6 PSU,Power Supply,9,114.14,84.66,0,158,March,2024,1027.26,761.94,265.32,Business
7/17/2024,CUST0011,Germany,Corsair Vengeance 16GB DDR4,RAM,4,69.36,48.17,0.2,159,July,2024,221.952,192.68,29.272,Individual
4/16/2024,CUST0118,USA,NVIDIA RTX 4070 Ti,GPU,8,659.63,358.62,0,160,April,2024,5277.04,2868.96,2408.08,Business
7/9/2025,CUST0459,USA,G.Skill Trident Z 32GB DDR5,RAM,9,232.46,153.97,0.1,161,July,2025,1882.926,1385.73,497.196,Individual
10/30/2023,CUST0367,UK,HyperX Cloud II,Headset,6,96,61.67,0.15,162,October,2023,489.6,370.02,119.58,Individual
2/27/2024,CUST0412,Brazil,Dell Ultrasharp 27 Monitor,Monitor,5,524.4,295.36,0.05,163,February,2024,2490.9,1476.8,1014.1,Reseller
4/30/2024,CUST0386,France,WD Black SN850 2TB SSD,Storage,2,181.1,105.83,0,164,April,2024,362.2,211.66,150.54,Individual
7/4/2025,CUST0434,France,MSI B550 Tomahawk,Motherboard,6,165.03,99.99,0.15,165,July,2025,841.653,599.94,241.713,Reseller
7/28/2024,CUST0439,Australia,Razer DeathAdder V2,Mouse,2,62.11,50.51,0.2,166,July,2024,99.376,101.02,-1.644,Reseller
12/7/2024,CUST0361,Brazil,SteelSeries Arctis 7,Headset,3,124.98,87.32,0,167,December,2024,374.94,261.96,112.98,Business
8/24/2024,CUST0136,USA,ASUS TUF Gaming 32 Monitor,Monitor,7,369.55,272.81,0,168,August,2024,2586.85,1909.67,677.18,Business
11/6/2023,CUST0278,India,Samsung 970 EVO 1TB SSD,Storage,6,84.5,60.79,0.2,169,November,2023,405.6,364.74,40.86,Reseller
6/10/2024,CUST0310,Australia,MSI B550 Tomahawk,Motherboard,2,172.96,152.44,0.2,170,June,2024,276.736,304.88,-28.144,Reseller
7/31/2025,CUST0009,Brazil,HyperX Cloud II,Headset,2,103.2,70.49,0,171,July,2025,206.4,140.98,65.42,Reseller
12/3/2024,CUST0057,Germany,Samsung 970 EVO 1TB SSD,Storage,2,89.6,78.06,0.15,172,December,2024,152.32,156.12,-3.8,Individual
3/16/2025,CUST0459,USA,Logitech G Pro Superlight,Mouse,8,163.09,129.61,0,173,March,2025,1304.72,1036.88,267.84,Individual
8/1/2025,CUST0324,Canada,NVIDIA RTX 4080,GPU,9,1170.32,802.37,0.2,174,August,2025,8426.304,7221.33,1204.974,Individual
4/9/2024,CUST0387,India,Logitech G915 Keyboard,Keyboard,4,237.16,121.01,0.05,175,April,2024,901.208,484.04,417.168,Reseller
2/7/2025,CUST0359,USA,ASUS TUF Gaming 32 Monitor,Monitor,1,317.14,175.42,0.05,176,February,2025,301.283,175.42,125.863,Individual
10/5/2023,CUST0473,Brazil,Intel Core i9-13900K,CPU,9,620.56,446.33,0,177,October,2023,5585.04,4016.97,1568.07,Reseller
9/14/2023,CUST0055,USA,HyperX Cloud II,Headset,3,111.55,77.95,0.15,178,September,2023,284.4525,233.85,50.6025,Individual
6/7/2024,CUST0090,Germany,NVIDIA RTX 4080,GPU,1,1434.68,851.69,0.15,179,June,2024,1219.478,851.69,367.788,Business
6/16/2025,CUST0042,France,Intel Core i9-13900K,CPU,8,489.3,348.58,0.15,180,June,2025,3327.24,2788.64,538.6,Business
11/7/2024,CUST0128,Canada,Corsair RM850x PSU,Power Supply,9,139.88,100.78,0.15,181,November,2024,1070.082,907.02,163.062,Individual
2/11/2024,CUST0032,Canada,HyperX Cloud II,Headset,2,83.9,63.16,0.05,182,February,2024,159.41,126.32,33.09,Individual
2/8/2024,CUST0159,Germany,ASUS ROG Strix Z690-F,Motherboard,5,388.73,199.25,0,183,February,2024,1943.65,996.25,947.4,Business
3/6/2024,CUST0411,Brazil,Razer Huntsman Elite,Keyboard,1,211.13,170.98,0,184,March,2024,211.13,170.98,40.15,Business
10/18/2023,CUST0277,Germany,HyperX Cloud II,Headset,9,81.53,57.15,0.2,185,October,2023,587.016,514.35,72.666,Individual
9/19/2024,CUST0152,France,Seagate Barracuda 4TB HDD,Storage,4,99.58,62.35,0.2,186,September,2024,318.656,249.4,69.256,Business
6/1/2025,CUST0347,Brazil,EVGA SuperNOVA 750 G6 PSU,Power Supply,9,97.94,68.83,0.1,187,June,2025,793.314,619.47,173.844,Individual
